Label,Drug,pubchem_id,MACCS(--8),MACCS(-11),MACCS(-13),MACCS(-14),MACCS(-15),MACCS(-16),MACCS(-17),MACCS(-19),MACCS(-21),MACCS(-22),MACCS(-23),MACCS(-24),MACCS(-25),MACCS(-26),MACCS(-27),MACCS(-28),MACCS(-30),MACCS(-32),MACCS(-33),MACCS(-34),MACCS(-36),MACCS(-37),MACCS(-38),MACCS(-39),MACCS(-40),MACCS(-41),MACCS(-42),MACCS(-43),MACCS(-45),MACCS(-46),MACCS(-47),MACCS(-48),MACCS(-49),MACCS(-50),MACCS(-51),MACCS(-52),MACCS(-53),MACCS(-54),MACCS(-55),MACCS(-56),MACCS(-57),MACCS(-58),MACCS(-59),MACCS(-60),MACCS(-61),MACCS(-62),MACCS(-63),MACCS(-64),MACCS(-65),MACCS(-66),MACCS(-67),MACCS(-68),MACCS(-69),MACCS(-70),MACCS(-71),MACCS(-72),MACCS(-73),MACCS(-74),MACCS(-75),MACCS(-76),MACCS(-77),MACCS(-78),MACCS(-79),MACCS(-80),MACCS(-81),MACCS(-82),MACCS(-83),MACCS(-84),MACCS(-85),MACCS(-86),MACCS(-87),MACCS(-88),MACCS(-89),MACCS(-90),MACCS(-91),MACCS(-92),MACCS(-93),MACCS(-94),MACCS(-95),MACCS(-96),MACCS(-97),MACCS(-98),MACCS(-99),MACCS(100),MACCS(101),MACCS(102),MACCS(103),MACCS(104),MACCS(105),MACCS(106),MACCS(107),MACCS(108),MACCS(109),MACCS(110),MACCS(111),MACCS(112),MACCS(113),MACCS(114),MACCS(115),MACCS(116),MACCS(117),MACCS(118),MACCS(119),MACCS(120),MACCS(121),MACCS(122),MACCS(123),MACCS(124),MACCS(125),MACCS(126),MACCS(127),MACCS(128),MACCS(129),MACCS(130),MACCS(131),MACCS(132),MACCS(133),MACCS(134),MACCS(135),MACCS(136),MACCS(137),MACCS(138),MACCS(139),MACCS(140),MACCS(141),MACCS(142),MACCS(143),MACCS(144),MACCS(145),MACCS(146),MACCS(147),MACCS(148),MACCS(149),MACCS(150),MACCS(151),MACCS(152),MACCS(153),MACCS(154),MACCS(155),MACCS(156),MACCS(157),MACCS(158),MACCS(159),MACCS(160),MACCS(161),MACCS(162),MACCS(163),MACCS(164),MACCS(165)
1,lomerizine dihcl,3949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,2,5,2,0,2,0,0,0,3,0,0,0,1,2,0,5,0,0,0,0,0,0,2,1,0,0,4,0,3,0,0,0,0,1,0,1,2,2,0,0,1,3,2,4,5,0,0,0,0,2,0,0,2,4,0,0,1,1,3,4,1,1,2,2,2,4,0,3,5,0,1,1,3,2,2,3,2,1,24,3,24
1,clotrimazole,2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,1,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,2,1,18,0,23
1,loratadine,3957,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,0,11,1,1,0,1,2,2,0,0,1,0,0,2,2,0,1,2,1,2,0,1,1,0,5,4,0,0,0,0,1,0,0,2,2,0,0,0,1,0,3,1,0,3,1,0,0,0,0,3,1,1,2,1,1,1,1,2,1,18,2,21
1,naftopidil,4418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,2,5,0,0,0,0,1,0,1,0,2,0,1,2,0,5,0,0,0,1,6,0,0,0,1,0,4,0,2,0,0,0,0,1,0,1,2,2,0,0,1,2,1,5,5,0,0,2,1,0,1,0,2,5,1,0,0,1,2,2,1,1,2,2,0,2,0,3,6,0,2,1,3,2,2,1,2,1,22,3,22
1,nefazodone,4449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,5,3,0,0,3,0,3,5,1,0,0,0,0,0,0,2,2,5,1,2,0,7,0,0,1,0,0,1,1,1,1,1,8,0,1,1,0,0,1,3,1,1,5,4,0,1,1,1,1,9,8,0,0,1,1,1,1,0,5,7,0,0,0,4,2,0,1,0,4,4,0,4,0,1,8,1,6,4,1,4,1,1,5,1,18,2,23
1,efavirenz,64139,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,6,2,2,0,0,2,0,2,0,0,0,0,2,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,1,2,1,0,1,0,0,0,1,1,0,1,0,2,1,1,1,0,1,1,10,2,13
1,aripiprazole,60795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,5,2,0,0,1,1,1,0,0,0,0,1,3,0,5,0,0,2,1,6,0,2,0,1,1,6,0,1,0,0,0,1,4,0,1,3,2,0,0,1,1,1,6,7,0,0,2,1,2,2,0,3,5,0,0,0,2,2,5,1,0,5,2,0,3,1,1,6,1,4,3,1,3,1,0,3,1,22,2,22
1,oxiconazole nitrate,5353853,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2,1,3,0,0,0,2,0,1,0,4,0,0,0,0,0,0,1,0,5,1,0,0,1,0,1,4,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,1,1,2,1,0,1,1,1,0,2,0,0,0,0,0,4,0,0,2,1,0,0,0,2,0,4,1,0,0,1,0,4,0,0,2,0,2,1,1,1,0,0,3,1,12,1,17
0,indatraline,126280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,2,1,6,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,1,0,0,0,0,1,0,1,0,1,1,1,12,0,15
0,trifluoperazine dihydrochloride,5566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,1,0,0,0,3,6,0,1,0,0,0,0,1,0,0,0,0,4,0,6,0,0,0,0,10,1,1,0,0,0,5,1,0,0,2,2,0,2,0,1,3,3,0,0,1,0,0,6,6,0,0,0,0,3,1,0,4,5,0,0,0,2,0,2,1,0,3,3,0,0,0,0,6,0,3,2,0,3,0,1,3,1,20,0,20
